# Time (s), Angle of Attack (°), Mach Number
0.000000,90.000000,0.000000
0.001410,90.000000,0.000000
0.002819,90.000000,0.000000
0.005638,90.000000,-0.000000
0.008457,90.000000,0.000000
0.011276,90.000000,0.000000
0.039467,90.000000,-0.000000
0.040855,90.000000,-0.000000
0.042242,90.000000,0.000000
0.045017,90.000000,0.000000
0.047792,90.000000,0.000000
0.050567,90.000000,-0.000000
0.051534,90.000000,0.000000
0.052500,90.000000,-0.000000
0.054432,90.000000,0.000000
0.056365,90.000000,0.000000
0.058297,0.000000,0.000006
0.060665,-0.000000,0.000036
0.063034,0.000000,0.000098
0.065402,-0.000000,0.000194
0.089083,0.000000,0.002944
0.092195,0.000000,0.003550
0.095307,-0.000000,0.004232
0.098419,0.000000,0.005007
0.101093,0.000000,0.005734
0.103272,0.000000,0.006346
0.105452,-0.000000,0.006960
0.107631,-0.000000,0.007578
0.111990,0.000000,0.008823
0.116349,0.000000,0.010079
0.120708,-0.000000,0.011348
0.125066,-0.000000,0.012628
0.131693,0.000000,0.014598
0.138320,0.000000,0.016596
0.144947,-0.000000,0.018622
0.147598,0.000000,0.019440
0.150248,0.000000,0.020262
0.152899,-0.000000,0.021081
0.156097,-0.000000,0.022058
0.159295,0.000000,0.023023
0.162493,0.000000,0.023975
0.194474,0.000000,0.032809
0.199715,-0.000000,0.034137
0.204955,0.000000,0.035449
0.210196,0.000001,0.036762
0.220677,0.000000,0.039396
0.231158,0.000001,0.042039
0.241639,-0.000000,0.044693
0.317029,-0.000000,0.064069
0.363273,-0.000000,0.076207
0.365144,0.003522,0.076703
0.367016,0.006998,0.077199
0.370759,0.013818,0.078191
0.374503,0.020463,0.079184
0.378246,0.026942,0.080179
0.409728,0.075516,0.088594
0.441209,0.115237,0.097100
0.472691,0.147938,0.105696
0.504173,0.174884,0.114379
0.531461,0.194286,0.121959
0.558749,0.210494,0.129566
0.586037,0.223796,0.137201
0.613326,0.234393,0.144866
0.651493,0.244887,0.155635
0.689661,0.250577,0.166460
0.727829,0.251605,0.177342
0.765997,0.248013,0.188280
0.804165,0.239852,0.199274
0.856966,0.221192,0.214576
0.909766,0.194246,0.229984
0.962567,0.160065,0.245500
1.015367,0.119964,0.261110
1.068168,0.075921,0.276763
1.120969,0.030297,0.292399
1.163977,0.004514,0.305140
1.206985,0.037630,0.317875
1.249993,0.065697,0.330607
1.293001,0.086833,0.343335
1.336009,0.100114,0.356059
1.379017,0.104366,0.368776
1.422025,0.099353,0.381487
1.465033,0.085428,0.394192
1.508041,0.063610,0.406886
1.541711,0.042115,0.416804
1.575381,0.013481,0.426688
1.609051,-0.000000,0.436542
1.642721,0.000000,0.446365
1.676391,0.028068,0.456156
1.710061,0.044633,0.465914
1.739880,0.053943,0.474528
1.769699,0.058211,0.483116
1.799518,0.057488,0.491678
1.829337,0.051971,0.500213
1.859155,0.041790,0.508721
1.888974,0.026826,0.517201
1.909248,0.009968,0.522950
1.929521,0.000000,0.528687
1.949794,0.000000,0.534410
1.970067,-0.000000,0.540120
1.990341,0.000000,0.545817
2.017306,0.000000,0.553371
2.044272,0.010220,0.560891
2.071238,0.020984,0.568377
2.098204,0.023541,0.575828
2.125170,0.020595,0.583243
2.152136,0.010350,0.590623
2.179102,-0.000000,0.597967
2.206068,0.000000,0.605275
2.233034,-0.000000,0.612546
2.260000,0.000000,0.619780
2.286966,-0.000000,0.626977
2.313932,-0.000000,0.634136
2.340898,0.002118,0.641258
2.367863,0.010588,0.648341
2.394829,0.006337,0.655385
2.421795,0.000000,0.662391
2.448761,0.000000,0.669357
2.475727,0.000000,0.676283
2.502693,-0.000000,0.683170
2.524743,-0.000000,0.688777
2.546794,0.000000,0.694370
2.568844,0.000000,0.699945
2.590894,0.000000,0.705505
2.612944,-0.000000,0.711051
2.634994,-0.000000,0.716583
2.659278,0.000000,0.722658
2.683562,0.000000,0.728716
2.707845,-0.000000,0.734756
2.732129,0.000000,0.740779
2.756412,0.000000,0.746784
2.780696,0.000000,0.752771
2.804979,0.002851,0.758740
2.814403,0.002992,0.761051
2.823827,0.003767,0.763360
2.833250,0.002971,0.765666
2.842674,0.000000,0.767970
2.852098,0.000000,0.770270
2.861521,0.000000,0.772568
2.874512,-0.000000,0.775732
2.887502,-0.000000,0.778889
2.900492,-0.000000,0.782042
2.913483,-0.000000,0.785186
2.926473,0.000000,0.788312
2.939463,0.000000,0.791422
2.952453,0.000000,0.794517
2.965444,-0.000000,0.797596
2.981687,-0.000000,0.801422
2.997930,0.000000,0.805222
3.014173,-0.000000,0.808947
3.026490,0.000000,0.811639
3.036695,-0.000000,0.813797
3.046899,-0.000000,0.815880
3.057103,0.000000,0.817892
3.067307,-0.000000,0.819832
3.077738,0.000000,0.821740
3.088169,0.000000,0.823573
3.098599,0.000000,0.825331
3.109030,0.000000,0.827014
3.119461,0.000000,0.828621
3.129892,0.000000,0.830153
3.143613,-0.000000,0.832054
3.157334,0.000000,0.833825
3.171055,0.000000,0.835466
3.184776,0.008425,0.836978
3.198497,0.012321,0.838360
3.212218,0.013106,0.839612
3.225938,0.015913,0.840734
3.239659,0.017837,0.841728
3.250432,0.018399,0.842417
3.261204,0.016798,0.843027
3.271976,0.015928,0.843557
3.282748,0.018554,0.844008
3.293520,0.019611,0.844380
3.304292,0.018436,0.844679
3.315064,0.017875,0.844924
3.325836,0.019093,0.845132
3.336608,0.020563,0.845306
3.347380,0.021380,0.845441
3.358152,0.021764,0.845537
3.368924,0.021538,0.845593
3.379696,0.021410,0.845612
3.390468,0.021783,0.845594
3.401240,0.022250,0.845539
3.413194,0.022881,0.845447
3.423130,0.023331,0.845357
3.433067,0.023715,0.845257
3.443004,0.023965,0.845144
3.452940,0.024088,0.845019
3.462877,0.024254,0.844880
3.472814,0.024375,0.844730
3.484291,0.025025,0.844541
3.495769,0.026107,0.844337
3.507247,0.026949,0.844116
3.518724,0.027478,0.843878
3.530202,0.027463,0.843624
3.541680,0.027914,0.843354
3.553158,0.029033,0.843068
3.564635,0.030068,0.842766
3.576113,0.030072,0.842448
3.587591,0.030137,0.842113
3.599068,0.030651,0.841763
3.610546,0.031236,0.841396
3.622024,0.031669,0.841013
3.633502,0.031885,0.840615
3.644979,0.032275,0.840200
3.656457,0.032959,0.839770
3.667935,0.033615,0.839323
3.679412,0.033619,0.838861
3.690890,0.033675,0.838382
3.702368,0.034380,0.837888
3.713846,0.035193,0.837378
3.726574,0.035962,0.836794
