timestamp_ms,gnss_time,lat,lon,alt_gps,gnss_fix,gnss_sats,alt_bar,pressure,temperature,pos_n,pos_e,pos_d,vel_n,vel_e,vel_d,acc_n,acc_e,acc_d,acc_x_raw,acc_y_raw,acc_z_raw,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,roll,pitch,yaw,flight_state,imu_valid,ekf_valid,bar_valid,attitude_reliable
25489,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,7627","0,0571","7,4108","0,2261","-0,0659","0,9531","-1,6945","-1,4165","-2,6223","-127,9734","9,3407","62,1313","-3,97","-13,4","-153,59",1,,,,
25529,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,7087","0,0571","7,3983","0,2065","-0,0522","0,9448","0,0128","-0,136","-1,2198","-128,5557","8,6099","62,614","-4,04","-13,43","-153,98",1,,,,
25628,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,7388","0,0571","7,4123","0,2178","-0,0444","0,9512","0,1348","-3,0018","0,2436","-129,2653","8,0377","62,729","-4,13","-13,46","-154,5",1,,,,
25728,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,7456","0,0571","7,4177","0,2271","-0,0532","0,9473","-1,6335","-1,7823","3,1704","-129,1065","7,398","61,8057","-4,19","-13,48","-154,98",1,,,,
25828,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,702","0,0571","7,4555","0,2046","-0,0552","0,9541","1,7201","0,3518","-3,4149","-128,3959","8,7527","61,9849","-4,28","-13,44","-155,25",1,,,,
25966,N/A,0,0,0,0,0,"463,69","958,78","31,05",0,0,0,0,0,0,"1,6989","0,0571","7,399","0,207","-0,0537","0,9409","-2,0604","0,9616","-5,4271","-128,8214","8,5659","62,1127","-4,35","-13,34","-155,73",1,,,,
26066,N/A,0,0,0,0,0,"463,69","958,78","31,05",0,0,0,0,0,0,"1,7245","0,0571","7,4362","0,2207","-0,0571","0,9585","0,6226","1,8152","0,4875","-128,854","8,2645","63,1096","-4,44","-13,27","-156,31",1,,,,
26166,N/A,0,0,0,0,0,"463,69","958,78","31,05",0,0,0,0,0,0,"1,6915","0,0571","7,3864","0,2158","-0,043","0,9282","-1,1457","0,7177","2,3168","-129,5198","8,3551","61,9934","-4,56","-13,2","-156,79",1,,,,
26266,N/A,0,0,0,0,0,"463,69","958,78","31,05",0,0,0,0,0,0,"1,7291","0,0571","7,3978","0,2368","-0,0488","0,9551","0,1348","0,5957","-5,4881","-128,9823","7,6406","62,4477","-4,65","-13,18","-157,14",1,,,,
26366,N/A,0,0,0,0,0,"463,69","958,78","31,05",0,0,0,0,0,0,"1,6972","0,0571","7,3718","0,2129","-0,0493","0,9443","-1,1457","1,5713","2,0729","-128,7023","7,6447","62,4406","-4,64","-13,17","-157,63",1,,,,
26466,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,7203","0,0571","7,3868","0,2261","-0,0615","0,9502","0,0738","-1,0506","-0,0613","-129,2358","8,7404","62,0062","-4,64","-13,15","-158,11",1,,,,
26566,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,7642","0,0571","7,4032","0,2344","-0,0649","0,9541","-0,8409","0,7177","2,9265","-129,2459","9,1617","62,5346","-4,66","-13,12","-158,48",1,,,,
26666,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,7854","0,0571","7,4169","0,2329","-0,0586","0,9561","-1,8774","-0,075","1,829","-129,0953","7,7593","61,5714","-4,73","-13,13","-158,75",1,,,,
26766,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,7596","0,0571","7,4037","0,2295","-0,0518","0,9482","-0,353","1,9982","1,2802","-128,9517","9,1258","62,0191","-4,85","-13,15","-158,93",1,,,,
26866,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,7295","0,0571","7,3869","0,2212","-0,0625","0,9468","1,2323","0,1689","-2,0735","-129,6471","8,5137","61,6256","-4,95","-13,12","-159,12",1,,,,
26966,N/A,0,0,0,0,0,"463,52","958,8","31,04",0,0,0,0,0,0,"1,7013","0,0571","7,4003","0,2119","-0,0532","0,9512","-0,536","-0,3189","0,8534","-129,2358","8,7404","62,0062","-4,95","-13,09","-159,43",1,,,,
27066,N/A,0,0,0,0,0,"463,52","958,8","31,04",0,0,0,0,0,0,"1,755","0,0571","7,3971","0,2368","-0,0503","0,9478","1,0494","-0,5018","-0,2442","-129,528","7,5925","61,9535","-4,95","-13,05","-159,73",1,,,,
27166,N/A,0,0,0,0,0,"463,52","958,8","31,04",0,0,0,0,0,0,"1,7171","0,0571","7,4085","0,2119","-0,0625","0,9453","0,6226","-1,8433","1,3412","-129,8191","7,2271","62,1948","-4,97","-13,03","-159,98",1,,,,
27266,N/A,0,0,0,0,0,"463,52","958,8","31,04",0,0,0,0,0,0,"1,7727","0,0571","7,4375","0,2378","-0,0596","0,9502","-2,1213","0,047","-2,1345","-129,9514","8,9708","62,6695","-4,99","-13,04","-160,18",1,,,,
27366,N/A,0,0,0,0,0,"463,52","958,8","31,04",0,0,0,0,0,0,"1,7418","0,0571","7,4576","0,2153","-0,0547","0,9546","-0,9628","-0,7457","0,9143","-129,5381","8,0137","62,4819","-4,98","-13,04","-160,49",1,,,,
27468,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,7717","0,0571","7,4613","0,2329","-0,0684","0,9551","-1,7555","0,4128","3,4753","-129,3966","7,8151","62,3412","-4,96","-13,06","-160,84",1,,,,
27645,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,7322","0,0571","7,4553","0,2124","-0,042","0,9521","1,2323","2,2421","2,0729","-128,5161","8,8914","61,3629",-5,"-13,05","-161,28",1,,,,
27745,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,7726","0,0571","7,4097","0,2305","-0,0581","0,9395","-1,3287","-0,014","2,4997","-128,9782","8,0219","62,4676","-5,05",-13,"-161,41",1,,,,
27845,N/A,0,0,0,0,0,"463,39","958,82","31,04",0,0,0,0,0,0,"1,7211","0,0571","7,451","0,2158","-0,0601","0,9648","0,3177","0,5957","0,3046","-128,1241","7,9942","61,9379","-5,15","-12,96","-161,54",1,,,,
27966,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,7133","0,0571","7,4198","0,2104","-0,0503","0,9419","0,1957","-1,3555","-0,0613","-129,1085","8,5818","62,374","-5,22","-12,9","-161,74",1,,,,
28066,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,7304","0,0571","7,3886","0,2217","-0,0454","0,9478","1,8421","-0,197","3,2924","-128,6688","8,7286","61,7378","-5,22","-12,89","-161,9",1,,,,
28166,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,7262","0,0571","7,4497","0,2188","-0,0693","0,958","-2,3043","0,9006","3,9631","-129,3742","8,5378","61,8727","-5,17","-12,9","-162,03",1,,,,
28266,N/A,0,0,0,0,0,"463,3","958,83","31,04",0,0,0,0,0,0,"1,6794","0,0571","7,2788","0,2046","-0,0894","0,9048","-2,3043","0,7787","1,1582","-128,5374","8,9513","62,1255","-5,24","-12,89",-162,1,,,,
